NP->DT NN Pairs/Tokens,Pronoun-Noun Ratio
0.0,0.0
0.0,0.0
0.0,0.0
0.0,1.0
0.0,0.3333333333333333
0.2,0.3333333333333333
0.1666666666666666,0.5
0.0,0.0
0.0,0.3333333333333333
0.0,0.0
0.0,0.0
0.0769230769230769,0.2
0.0,0.0
0.0,0.5
0.0,0.5
0.0,0.0
0.0,0.5
0.0,0.1666666666666666
0.0,0.0
0.0,0.0
0.0,0.2
0.1111111111111111,0.3333333333333333
0.0833333333333333,0.25
0.0,0.3333333333333333
0.0,0.3333333333333333
0.2222222222222222,0.3333333333333333
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.5
0.0,0.0
0.0,0.0
0.0,1.0
0.0,0.0
0.0,1.0
0.0,0.5
0.0,0.0
0.0,1.0
0.0,0.25
0.0,0.0
0.0,0.3333333333333333
0.0,0.0
0.0,0.5
0.1428571428571428,0.0
0.0,0.3333333333333333
0.0,0.5
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.5
0.0,0.5
0.0,0.0
0.2,1.0
0.0,2.0
0.0,0.0
0.0,0.0
0.0,0.3333333333333333
0.0,0.5
0.1,0.0
0.0,0.5
0.0714285714285714,0.25
0.0,0.0
0.1111111111111111,0.3333333333333333
0.1,0.0
0.0,0.0
0.0,0.3333333333333333
0.0,0.5
0.1,0.0
0.0,1.0
0.0,0.5
0.0,0.5
0.0,0.3333333333333333
0.0909090909090909,0.0
0.0,0.3333333333333333
0.0,1.0
0.0,1.0
0.0,0.0
0.0,0.0
0.0,0.3333333333333333
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.125,2.0
0.0,0.0
0.0714285714285714,0.0
0.0,0.3333333333333333
0.0,1.0
0.0,0.25
0.0,0.0
0.0,0.3333333333333333
0.0,0.0
0.0,0.0
0.0,0.5
0.0,0.0
0.0,0.0
0.0,0.0
0.1666666666666666,0.6666666666666666
0.0666666666666666,0.0
0.05,0.0
0.0,0.5
0.0,0.0
0.0714285714285714,0.0
0.0,0.0
0.0,0.1428571428571428
0.0,0.0
0.08,0.0
0.0714285714285714,0.25
0.0476190476190476,0.2
0.0,0.0
0.1333333333333333,0.25
0.0526315789473684,0.2
0.0454545454545454,0.0
0.05,0.1666666666666666
0.0,0.5
0.125,0.3333333333333333
0.125,0.25
0.1666666666666666,0.25
0.1111111111111111,0.25
0.0,0.5
0.0,0.0
